CustomerID,Recency,Frequency,MonetaryValue,AvgTransactionValue,CLV,RollingAvgAmount
12539,21,4,5568.35,1392.0875,5568.35,20.37454212454212
12540,19,17,13400.24,788.2494117647059,13400.24,28.078744769874472
12541,29,3,981.18,327.06,981.1800000000001,18.129166666666666
12544,35,1,372.7,372.7,372.7,18.416666666666668
12545,74,2,1000.39,500.195,1000.39,19.1022
12546,46,2,1161.5,580.75,1161.5,16.44734299516908
12547,197,2,207.8,103.9,207.8,26.541666666666668
12548,165,1,95.19999999999999,95.19999999999999,95.19999999999999,17.786666666666665
12550,78,1,964.83,964.83,964.83,16.234444444444442
12551,357,1,168.0,168.0,168.0,17.1
12552,38,2,437.82,218.91,437.82,18.426
12553,7,10,3692.28,369.228,3692.28,19.352059336823736
12556,49,2,603.71,301.855,603.71,4.983953168044076
12557,15,5,11990.960000000001,2398.192,11990.96,331.5568686868687
12558,7,1,269.96,269.96,269.96,24.780606060606058
12559,310,2,561.71,280.855,561.71,24.705634920634925
12560,4,3,2134.01,711.3366666666667,2134.01,19.898190476190475
12561,302,1,238.85,238.85,238.85,14.859375
12562,7,7,3781.7400000000002,540.2485714285715,3781.7400000000007,22.494583333333328
12564,260,1,456.90000000000003,456.90000000000003,456.90000000000003,20.873809523809523
12565,288,1,145.92000000000002,145.92000000000002,145.92000000000002,15.312222222222223
12566,85,1,351.65,351.65,351.65,17.146491228070175
12567,22,10,9401.28,940.128,9401.28,20.985661434977583
12569,1,32,4124.6900000000005,128.89656250000002,4124.6900000000005,21.969627659574474
12571,39,2,519.61,259.805,519.61,15.242450980392157
12572,8,2,1020.4200000000001,510.21000000000004,1020.4200000000001,16.702277777777777
12573,226,1,160.54000000000002,160.54000000000002,160.54000000000002,5.356488095238096
12574,315,1,218.45000000000002,218.45000000000002,218.45000000000002,18.36666666666667
12576,35,5,1315.83,263.166,1315.83,15.001856060606059
12577,34,3,657.8,219.26666666666665,657.8,4.454875283446712
12578,20,2,2794.51,1397.255,2794.51,23.57406432748538
12579,77,1,440.42,440.42,440.42,14.259310344827588
12580,246,1,415.7,415.7,415.7,17.004166666666666
12581,39,1,197.71,197.71,197.71,12.74288888888889
12582,238,2,511.36,255.68,511.36,22.958181818181817
12583,2,15,7281.38,485.42533333333336,7281.38,29.50963562753037
12584,3,9,2338.15,259.7944444444445,2338.1500000000005,24.17612847222222
12585,233,2,2040.1,1020.05,2040.1,22.75227969348659
12586,16,1,196.94000000000003,196.94000000000003,196.94000000000003,19.507878787878788
12587,7,1,144.0,144.0,144.0,31.933333333333337
12588,38,1,214.89999999999998,214.89999999999998,214.89999999999998,21.30833333333333
12589,28,2,646.68,323.34,646.68,17.580761904761903
12590,210,2,9864.26,4932.13,9864.26,143.09843137254902
12591,316,1,452.84999999999997,452.84999999999997,452.84999999999997,16.48846153846154
12592,91,2,437.6,218.8,437.6,24.9037037037037
12593,108,3,418.1,139.36666666666667,418.1,19.58095238095238
12594,37,10,3338.2200000000003,333.822,3338.2200000000003,27.9164406779661
12596,50,2,618.27,309.135,618.27,20.443086419753087
12597,18,4,3811.22,952.805,3811.22,18.74576860841424
12598,9,8,3023.08,377.885,3023.08,22.90022727272727
12599,28,7,1032.58,147.51142857142855,1032.58,16.568494623655916
12600,28,10,2599.04,259.904,2599.04,39.876406249999995
12601,189,5,577.0600000000001,115.412,577.0600000000001,20.589642857142856
12602,58,1,153.12,153.12,153.12,13.761388888888888
12603,21,1,739.1999999999999,739.1999999999999,739.1999999999999,491.4
12604,78,2,254.18,127.09,254.18,17.155625
12607,59,1,1579.51,1579.51,1579.51,15.529801980198018
12609,77,3,1126.85,375.6166666666666,1126.85,18.637499999999996
12610,22,5,2099.54,419.908,2099.54,19.58040880503145
12611,51,1,1193.32,1193.32,1193.32,18.424153846153846
12612,73,1,704.04,704.04,704.04,38.66263157894737
12613,56,5,3344.38,668.876,3344.38,21.589934640522877
12614,277,1,315.6,315.6,315.6,15.489583333333332
12615,1,4,2291.19,572.7975,2291.19,21.581428571428575
12616,94,2,713.3,356.65,713.3,21.69479166666667
12617,28,1,355.53000000000003,355.53000000000003,355.53000000000003,8.912023809523808
12618,21,1,177.31,177.31,177.31,14.535757575757577
12619,15,9,3641.24,404.5822222222222,3641.24,40.50868518518519
12620,14,3,1339.41,446.47,1339.41,14.464456521739134
12621,1,20,13689.67,684.4835,13689.670000000002,29.19183083511777
12622,231,1,180.1,180.1,180.1,16.475757575757576
12623,275,1,305.1,305.1,305.1,16.069444444444443
12624,105,2,641.13,320.565,641.13,16.377105263157894
12625,211,2,2683.82,1341.91,2683.82,30.50158914728683
12626,22,9,6620.4800000000005,735.6088888888889,6620.4800000000005,22.486836734693878
12627,10,7,4478.53,639.79,4478.53,19.322702898550723
12628,3,3,786.46,262.15333333333336,786.46,19.50146341463415
12630,9,2,1270.88,635.44,1270.88,18.78875
12631,56,1,640.5,640.5,640.5,17.68064516129032
12633,58,4,2163.98,540.995,2163.98,23.04838283828383
12635,89,2,1689.18,844.59,1689.18,15.947920792079211
12637,66,8,6021.9,752.7375,6021.9,15.484153846153845
12638,32,1,671.69,671.69,671.69,14.638034188034188
12639,238,1,486.1,486.1,486.1,18.686363636363637
12640,23,3,1174.58,391.52666666666664,1174.58,21.58566037735849
12641,114,1,185.9,185.9,185.9,17.804166666666667
12642,24,3,1013.26,337.75333333333333,1013.26,21.58
12643,127,6,3344.64,557.4399999999999,3344.6399999999994,139.43083333333334
12644,129,1,477.90999999999997,477.90999999999997,477.90999999999997,15.474086021505375
12645,33,4,1775.18,443.795,1775.18,23.996073059360732
12646,4,2,1346.97,673.485,1346.97,30.347666666666665
12647,21,12,3722.82,310.235,3722.82,30.245068870523415
12648,154,1,318.05,318.05,318.05,14.827380952380953
12649,106,3,623.51,207.83666666666667,623.51,20.171290322580646
12650,2,1,314.44,314.44,314.44,13.264
12651,334,1,114.0,114.0,114.0,11.555555555555555
12652,330,1,919.98,919.98,919.98,17.32979166666667
12653,148,2,2209.85,1104.925,2209.85,50.017441860465105
12654,10,5,601.98,120.396,601.98,15.616140350877192
12656,16,5,4051.17,810.234,4051.17,31.879920634920627
12657,10,4,1643.18,410.795,1643.18,34.19886524822695
12658,18,1,686.05,686.05,686.05,18.130833333333335
12659,29,1,91.68,91.68,91.68,17.895999999999997
12660,10,1,245.10000000000002,245.10000000000002,245.10000000000002,18.80769230769231
12662,0,11,3849.78,349.98,3849.78,16.732521739130437
12664,7,9,4881.88,542.4311111111111,4881.88,133.22234234234233
12665,324,1,63.0,63.0,63.0,25.0
12667,57,1,620.13,620.13,620.13,18.49409090909091
12668,11,4,3807.15,951.7875,3807.15,23.030496894409936
12669,150,3,2744.0299999999997,914.6766666666666,2744.0299999999997,26.8270297029703
12670,9,5,2996.05,599.21,2996.05,32.24402173913043
12672,329,1,225.9,225.9,225.9,22.56
12673,4,2,610.52,305.26,610.52,13.860793650793653
12674,38,4,1970.6,492.65,1970.6,24.49277108433735
12676,24,6,1331.39,221.89833333333334,1331.39,31.17885185185185
12678,41,12,17628.46,1469.0383333333332,17628.46,107.00127272727272
12679,58,4,1113.02,278.255,1113.02,23.189375
12680,0,4,862.81,215.7025,862.81,16.429551282051282
12681,14,22,13787.54,626.7063636363637,13787.54,21.47056948798328
12682,3,31,12288.22,396.3941935483871,12288.22,23.408799999999992
12683,3,15,8476.57,565.1046666666666,8476.57,24.495939922480616
12684,7,7,2283.63,326.23285714285714,2283.63,21.720285714285716
12685,27,6,2863.08,477.18,2863.08,18.10329087048832
12686,371,1,89.14,89.14,89.14,12.85142857142857
12688,113,1,4873.81,4873.81,4873.81,28.278421052631575
12689,25,2,1247.6100000000001,623.8050000000001,1247.6100000000001,16.730694444444442
12690,205,1,389.01,389.01,389.01,23.50583333333333
12691,27,6,1035.8,172.63333333333333,1035.8,32.075
12693,126,4,855.91,213.9775,855.91,21.615641025641025
12694,69,2,869.67,434.835,869.67,22.663513513513514
12695,6,4,582.1,145.525,582.1,21.512654320987654
12697,28,3,957.59,319.19666666666666,957.5899999999999,24.230853658536585
12700,7,4,4939.99,1234.9975,4939.99,18.168619402985072
12701,79,2,797.71,398.855,797.71,14.874528301886793
12702,19,1,219.0,219.0,219.0,18.744444444444444
12703,70,1,283.55,283.55,283.55,12.902380952380952
12704,6,8,2340.84,292.605,2340.84,26.40765151515151
12705,14,9,6868.29,763.1433333333333,6868.29,20.6289121756487
12707,291,1,603.42,603.42,603.42,18.514545454545456
12708,29,10,2712.91,271.291,2712.91,17.289023354564755
12709,14,15,9736.52,649.1013333333334,9736.52,46.808669871794905
12710,96,3,1149.02,383.00666666666666,1149.02,14.684415584415586
12712,28,13,4396.13,338.1638461538462,4396.13,32.92478696741855
12713,0,1,848.55,848.55,848.55,23.13763157894737
12714,8,5,4708.86,941.7719999999999,4708.86,17.99868725868726
12715,105,1,353.86,353.86,353.86,16.699682539682538
12716,3,2,1053.49,526.745,1053.49,15.054927536231883
12717,150,2,1030.98,515.49,1030.98,17.8049696969697
12718,70,1,238.25,238.25,238.25,11.648947368421052
12719,4,2,644.95,322.475,644.95,16.126923076923074
12720,2,25,5781.7300000000005,231.2692,5781.7300000000005,16.196977401129942
12721,31,6,2656.13,442.68833333333333,2656.13,16.40432712215321
12722,84,4,997.63,249.4075,997.63,18.402452830188682
12723,3,5,725.07,145.014,725.07,10.311038647342993
12724,4,4,1031.41,257.8525,1031.41,19.2637106918239
12725,370,1,427.8,427.8,427.8,16.700694444444444
12726,27,7,2609.1,372.7285714285714,2609.1,21.01854838709677
12727,10,7,3980.7000000000003,568.6714285714286,3980.7,28.646043165467624
12728,70,4,836.33,209.0825,836.33,18.28163043478261
12729,113,1,453.01,453.01,453.01,17.256794871794874
12731,23,12,18895.91,1574.6591666666666,18895.91,69.30551094890511
12732,179,1,236.26000000000002,236.26000000000002,236.26000000000002,20.963333333333335
12733,233,1,383.95,383.95,383.95,17.395075757575757
12734,352,1,110.39999999999999,110.39999999999999,110.39999999999999,18.0
12735,314,2,779.5699999999999,389.78499999999997,779.5699999999999,17.565193798449613
12736,332,1,234.0,234.0,234.0,66.9
12738,371,1,155.35,155.35,155.35,14.104545454545455
12739,77,2,1013.04,506.52,1013.04,25.195789473684208
12740,63,1,427.6,427.6,427.6,15.965432098765431
12743,133,2,546.43,273.215,546.43,4.071616915422884
12744,51,7,21279.29,3039.8985714285714,21279.29,83.67075075075074
12747,1,11,4196.01,381.4554545454546,4196.01,40.58310679611652
12748,0,209,33719.73,161.3384210526316,33719.73,7.3378520130576765
12749,3,5,4090.88,818.176,4090.88,20.584907872696817
12750,128,1,275.88,275.88,275.88,18.714222222222222
12752,80,1,4366.78,4366.78,4366.78,81.31377358490566
12753,22,6,21429.39,3571.565,21429.39,108.70685279187818
12754,235,3,3010.74,1003.5799999999999,3010.74,44.47730158730159
12755,280,2,3811.9500000000003,1905.9750000000001,3811.9500000000003,1742.6312500000001
12756,86,1,112.08,112.08,112.08,36.09
12757,15,13,7857.1,604.3923076923077,7857.099999999999,21.076752021563337
12758,116,2,2791.59,1395.795,2791.59,28.914329896907216
12759,51,3,1531.44,510.48,1531.44,15.907263157894738
12762,7,2,1898.52,949.26,1898.52,27.552463768115945
12763,137,2,494.08,247.04,494.08,23.370555555555555
12764,316,1,1693.88,1693.88,1693.88,37.18133333333334
12766,3,7,6989.63,998.5185714285715,6989.63,22.360688172043012
12769,238,1,1143.6,1143.6,1143.6,40.034375
12770,210,1,1351.45,1351.45,1351.45,111.50583333333333
12772,59,1,892.47,892.47,892.47,14.532787878787877
12775,16,5,1386.04,277.20799999999997,1386.04,21.074848484848484
12778,19,6,822.23,137.03833333333333,822.23,16.074333333333335
12779,37,8,3981.36,497.67,3981.36,27.099686800894855
12781,63,2,826.74,413.37,826.74,32.924933333333335
12782,4,5,2330.92,466.184,2330.92,22.799223300970873
12783,1,6,2225.91,370.98499999999996,2225.91,26.033928571428564
12784,8,2,574.42,287.21,574.42,9.399209039548023
12785,363,1,311.95,311.95,311.95,20.390476190476193
12787,9,3,463.66,154.55333333333334,463.66,23.456333333333333
12789,64,1,91.85,91.85,91.85,28.204166666666666
12790,191,1,324.92,324.92,324.92,14.76
12791,373,1,192.60000000000002,192.60000000000002,192.60000000000002,136.95000000000002
12792,256,1,400.54,400.54,400.54,14.972266666666666
12793,334,2,545.48,272.74,545.48,21.653611111111115
12794,52,2,860.41,430.205,860.41,19.14874074074074
12795,18,1,430.48,430.48,430.48,26.13309523809524
12797,365,1,254.03,254.03,254.03,19.00025641025641
12798,9,3,6977.04,2325.68,6977.039999999999,558.57
12802,186,1,427.58,427.58,427.58,16.768533333333334
12808,36,3,483.65000000000003,161.21666666666667,483.65,17.1875
12809,177,1,489.31,489.31,489.31,17.796400000000002
12811,260,3,514.85,171.61666666666667,514.85,16.548924731182794
12812,44,1,229.64000000000001,229.64000000000001,229.64000000000001,14.929333333333334
12814,101,1,125.92,125.92,125.92,74.44
12815,147,2,1063.46,531.73,1063.46,21.7654609929078
12816,95,2,572.2,286.1,572.2,19.377298850574714
12817,280,1,166.04000000000002,166.04000000000002,166.04000000000002,43.315
12818,261,1,1542.08,1542.08,1542.08,114.18428571428572
12820,2,4,942.34,235.585,942.34,15.941355932203392
12821,213,1,92.72,92.72,92.72,15.74777777777778
12822,70,2,948.88,474.44,948.88,19.881739130434784
12823,74,5,1759.5,351.9,1759.5,323.85
12824,59,1,397.12,397.12,397.12,15.687999999999999
12826,2,7,1474.72,210.67428571428573,1474.72,16.26798534798535
12827,5,3,430.15,143.38333333333333,430.15,17.11133333333333
12828,2,6,1018.71,169.785,1018.71,18.289375000000003
12829,336,2,293.0,146.5,293.0,26.78560606060606
12830,37,6,6814.64,1135.7733333333333,6814.639999999999,175.72000000000003
12831,261,1,215.05,215.05,215.05,24.85
12832,31,2,383.03000000000003,191.51500000000001,383.03000000000003,14.159753086419753
12833,144,1,417.38,417.38,417.38,17.474166666666665
12834,282,1,312.38,312.38,312.38,17.284074074074073
12836,58,4,2612.86,653.215,2612.86,14.887866666666666
12837,172,1,134.1,134.1,134.1,11.957638888888889
12838,33,2,683.13,341.565,683.13,5.5639972899728996
12839,2,14,5591.42,399.38714285714286,5591.42,17.81243099787686
12840,143,4,2726.77,681.6925,2726.77,24.217669616519174
12841,4,25,4022.35,160.894,4022.3500000000004,9.573027777777776
12842,69,2,1118.99,559.495,1118.99,31.40558823529412
12843,65,8,1702.26,212.7825,1702.26,16.616116504854368
12844,28,2,325.96000000000004,162.98000000000002,325.96000000000004,6.260032051282052
12845,266,4,354.09000000000003,88.52250000000001,354.09000000000003,11.328024691358026
12847,21,1,871.54,871.54,871.54,9.31489010989011
12849,30,2,1050.89,525.445,1050.89,19.886405228758168
12851,96,1,135.18,135.18,135.18,2.7237
12852,294,1,311.55,311.55,311.55,18.073529411764707
12853,134,6,1957.1000000000001,326.18333333333334,1957.1,24.76346153846154
12854,78,3,1324.5,441.5,1324.5,11.81348484848485
12855,372,1,38.1,38.1,38.1,14.783333333333337
12856,7,6,2179.93,363.32166666666666,2179.93,6.965355626326964
12857,210,2,1106.4,553.2,1106.4,23.827898550724637
12863,51,1,521.2,521.2,521.2,148.50666666666666
12864,137,1,147.12,147.12,147.12,26.746666666666666
12865,25,2,1568.23,784.115,1568.23,16.397157894736843
12866,282,1,559.12,559.12,559.12,19.817435897435896
12867,25,7,4036.82,576.6885714285714,4036.82,7.487596034696405
12868,185,6,1607.0600000000002,267.84333333333336,1607.0600000000002,15.053769470404987
12871,83,2,380.64,190.32,380.64,35.20727272727272
12872,326,2,599.97,299.985,599.97,9.521616161616162
12873,281,1,374.0,374.0,374.0,86.41666666666667
12875,142,2,343.2300000000001,171.61500000000004,343.2300000000001,232.68750000000006
12876,57,2,2218.02,1109.01,2218.02,26.09239215686274
12877,3,12,1535.77,127.98083333333334,1535.77,9.941190476190476
12878,235,2,854.99,427.495,854.99,18.165744680851063
12879,44,3,573.22,191.07333333333335,573.22,60.795
12881,275,1,298.0,298.0,298.0,63.554761904761904
12882,8,2,1463.04,731.52,1463.04,113.68769230769232
12883,24,4,703.47,175.8675,703.47,16.685555555555556
12884,87,1,309.05,309.05,309.05,61.00476190476191
12885,62,3,1175.22,391.74,1175.22,16.603333333333335
12886,67,2,1378.4,689.2,1378.4,16.79268292682927
12888,213,2,354.12,177.06,354.12,62.907999999999994
12890,23,1,380.46999999999997,380.46999999999997,380.46999999999997,4.745040650406504
12891,185,3,331.0,110.33333333333333,331.0,91.77777777777779
12893,30,1,188.14,188.14,188.14,4.8600980392156865
12895,41,2,372.8,186.4,372.8,17.08787878787879
12897,204,2,216.5,108.25,216.5,59.375
12901,8,28,17654.54,630.5192857142857,17654.54,147.84775862068966
12902,264,1,138.68,138.68,138.68,13.963
12904,17,2,509.58,254.79,509.58,7.177500000000001
12906,11,5,2919.81,583.962,2919.81,46.34513227513227
12908,175,2,750.0,375.0,750.0,346.5
12909,39,5,2178.67,435.73400000000004,2178.67,23.212124542124542
12910,22,8,3075.04,384.38,3075.04,40.931599999999996
12912,2,5,1662.3,332.46,1662.3,67.26708333333333
12913,4,5,2483.63,496.726,2483.63,53.08780000000001
12915,148,2,363.65,181.825,363.65,16.37727272727273
12916,138,4,3006.15,751.5375,3006.15,28.056542056074765
12917,127,1,594.0,594.0,594.0,297.0
12919,7,6,1335.19,222.53166666666667,1335.19,26.836466666666666
12920,16,1,164.23,164.23,164.23,5.747202380952381
12921,8,37,16587.09,448.29972972972973,16587.09,23.031212962962964
12922,160,1,405.38,405.38,405.38,14.595714285714285
12923,63,1,176.97,176.97,176.97,6.412758620689655
12924,87,4,933.7,233.425,933.7,29.781722222222225
12925,4,2,694.05,347.025,694.05,15.298888888888888
12928,34,5,2062.7,412.53999999999996,2062.7,24.275952380952383
12929,311,1,117.85,117.85,117.85,14.823958333333334
12930,77,2,415.8,207.9,415.8,16.27146666666667
12931,21,15,42055.96,2803.730666666667,42055.96,511.7212195121951
12933,23,3,607.53,202.51,607.53,6.086053459119497
12935,1,7,2160.7,308.6714285714285,2160.7,16.76046511627907
12936,16,4,1063.9,265.975,1063.9,17.712096774193554
12937,14,4,1504.27,376.0675,1504.27,12.525722222222221
12938,25,1,114.14,114.14,114.14,12.276296296296296
